ID en el IDAE;Nombre del vehículo;Segmento comercial;Motorizacion;Cilindrada;Tipo de cambio;MTMA;Potencia en CV;Potencia termica;Potencia Electrica;Autonomia Electrica;Consumo NEDC;Consumo WLTP;Emisiones NEDC;Emisiones WLTP;Dimensiones (largo x ancho x alto);Nº de plazas maximas;Clasificacion por consumo relativo
540126;Abarth 595 ABARTH 595C MONSTER ENERGY YAMAHA 1.4 16v T-JET 121 kW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.090;164 cv;121 kw;0 kw;0 kms;6,70;7,70;153 g CO2/km;171 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540125;Abarth 595 ABARTH 595C PISTA 1.4 16v T-JET 121 kW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.090;164 cv;121 kw;0 kw;0 kms;6,70;7,55;153 g CO2/km;171 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540128;Abarth 595 ABARTH 595C SCORPIONEORO 1.4 16v T-JET 121 KW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.090;164 cv;121 kw;0 kw;0 kms;6,65;7,55;149 g CO2/km;169 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540127;Abarth 595 ABARTH 595C TURISMO 1.4 16v T-JET 121 KW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.090;164 cv;121 kw;0 kw;0 kms;6,65;7,70;149 g CO2/km;169 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540116;Abarth 595 ABARTH 695 70º ANIVERSARIO 1.4 16v T-JET 132 KW X180 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.065;179 cv;132 kw;0 kw;0 kms;6,75;7,75;154 g CO2/km;172 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
352308;Aixam eAIXAM SENSATION City Pack;Cuadriciclo de Pasajeros;Eléctricos puros;0 cm3;A;710;0 cv;6 kw;6 kw;NA;NA;NA;0 g CO2/km;0 g CO2/km;3.000 x 1.500 x 1.500 mm;2;S
352309;Aixam eAIXAM SENSATION City Premium;Cuadriciclo de Pasajeros;Eléctricos puros;0 cm3;A;710;0 cv;6 kw;6 kw;NA;NA;NA;0 g CO2/km;0 g CO2/km;3.000 x 1.500 x 1.500 mm;2;S
352311;Aixam eAIXAM SENSATION Coupé GTI;Cuadriciclo de Pasajeros;Eléctricos puros;0 cm3;A;710;0 cv;6 kw;6 kw;NA;NA;NA;0 g CO2/km;0 g CO2/km;3.000 x 1.500 x 1.500 mm;2;S
352310;Aixam eAIXAM SENSATION Coupé Premium;Cuadriciclo de Pasajeros;Eléctricos puros;0 cm3;A;710;0 cv;6 kw;6 kw;NA;NA;NA;0 g CO2/km;0 g CO2/km;3.000 x 1.500 x 1.500 mm;2;S
352306;Aixam eAixam VISION City Pack;Cuadriciclo de Pasajeros;Eléctricos puros;0 cm3;A;710;0 cv;4 kw;4 kw;NA;NA;NA;0 g CO2/km;0 g CO2/km;2.760 x 1.500 x 1.456 mm;2;S
352307;Aixam eAixam VISION Coupé Premium;Cuadriciclo de Pasajeros;Eléctricos puros;0 cm3;A;710;0 cv;4 kw;4 kw;NA;NA;NA;0 g CO2/km;0 g CO2/km;3.040 x 1.500 x 1.456 mm;2;S
28139;Alfa Romeo 159 1.8 TBi 200CV Sport Plus;Berlinas-Familiares Grandes;Gasolina;1.742 cm3;M;1.990;200 cv;147 kw;0 kw;741 kms;8,10;0,00;189 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;D
